name,display_name,types,image,generation,generation_label,total,hp,attack,defense,sp_atk,sp_def,speed,level,evolution_paths
magby,Magby,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/magby.jpg,generation-ii,Generation II,365.0,45.0,75.0,37.0,,,83.0,(Level 30),"[{""evolves_to"": ""Magmar"", ""condition"": ""(Level 30)""}]"
miltank,Miltank,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/miltank.jpg,generation-ii,Generation II,490.0,95.0,80.0,105.0,,,100.0,,
blissey,Blissey,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/blissey.jpg,generation-ii,Generation II,540.0,255.0,10.0,10.0,,,55.0,,[]
raikou,Raikou,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/raikou.jpg,generation-ii,Generation II,580.0,90.0,85.0,75.0,,,115.0,,
entei,Entei,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/entei.jpg,generation-ii,Generation II,580.0,115.0,115.0,85.0,,,100.0,,
suicune,Suicune,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/suicune.jpg,generation-ii,Generation II,580.0,100.0,75.0,115.0,,,85.0,,
larvitar,Larvitar,"[""Rock"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/larvitar.jpg,generation-ii,Generation II,300.0,50.0,64.0,50.0,,,41.0,(Level 30),"[{""evolves_to"": ""Pupitar"", ""condition"": ""(Level 30)""}]"
pupitar,Pupitar,"[""Rock"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/pupitar.jpg,generation-ii,Generation II,410.0,70.0,84.0,70.0,,,51.0,(Level 55),"[{""evolves_to"": ""Tyranitar"", ""condition"": ""(Level 55)""}]"
tyranitar,Tyranitar,"[""Rock"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/tyranitar.jpg,generation-ii,Generation II,600.0,100.0,134.0,110.0,,,61.0,,[]
lugia,Lugia,"[""Psychic"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/lugia.jpg,generation-ii,Generation II,680.0,106.0,90.0,130.0,,,110.0,,
ho-oh,Ho-oh,"[""Fire"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/ho-oh.jpg,generation-ii,Generation II,680.0,106.0,130.0,90.0,,,90.0,,
celebi,Celebi,"[""Psychic"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/celebi.jpg,generation-ii,Generation II,600.0,100.0,100.0,100.0,,,100.0,,
treecko,Treecko,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/treecko.jpg,generation-iii,Generation III,310.0,40.0,45.0,35.0,,,70.0,(Level 16),"[{""evolves_to"": ""Grovyle"", ""condition"": ""(Level 16)""}]"
grovyle,Grovyle,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/grovyle.jpg,generation-iii,Generation III,405.0,50.0,65.0,45.0,,,95.0,(Level 36),"[{""evolves_to"": ""Sceptile"", ""condition"": ""(Level 36)""}]"
sceptile,Sceptile,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/sceptile.jpg,generation-iii,Generation III,530.0,70.0,85.0,65.0,,,120.0,,[]
torchic,Torchic,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/torchic.jpg,generation-iii,Generation III,310.0,45.0,60.0,40.0,,,45.0,(Level 16),"[{""evolves_to"": ""Combusken"", ""condition"": ""(Level 16)""}]"
combusken,Combusken,"[""Fire"", ""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/combusken.jpg,generation-iii,Generation III,405.0,60.0,85.0,60.0,,,55.0,(Level 36),"[{""evolves_to"": ""Blaziken"", ""condition"": ""(Level 36)""}]"
blaziken,Blaziken,"[""Fire"", ""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/blaziken.jpg,generation-iii,Generation III,530.0,80.0,120.0,70.0,,,80.0,,[]
mudkip,Mudkip,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/mudkip.jpg,generation-iii,Generation III,310.0,50.0,70.0,50.0,,,40.0,(Level 16),"[{""evolves_to"": ""Marshtomp"", ""condition"": ""(Level 16)""}]"
marshtomp,Marshtomp,"[""Water"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/marshtomp.jpg,generation-iii,Generation III,405.0,70.0,85.0,70.0,,,50.0,(Level 36),"[{""evolves_to"": ""Swampert"", ""condition"": ""(Level 36)""}]"
swampert,Swampert,"[""Water"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/swampert.jpg,generation-iii,Generation III,535.0,100.0,110.0,90.0,,,60.0,,[]
poochyena,Poochyena,"[""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/poochyena.jpg,generation-iii,Generation III,220.0,35.0,55.0,35.0,,,35.0,(Level 18),"[{""evolves_to"": ""Mightyena"", ""condition"": ""(Level 18)""}]"
mightyena,Mightyena,"[""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/mightyena.jpg,generation-iii,Generation III,420.0,70.0,90.0,70.0,,,70.0,,[]
zigzagoon,Zigzagoon,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/zigzagoon.jpg,generation-iii,Generation III,240.0,38.0,30.0,41.0,,,60.0,(Level 20),"[{""evolves_to"": ""Linoone"", ""condition"": ""(Level 20)""}]"
linoone,Linoone,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/linoone.jpg,generation-iii,Generation III,420.0,78.0,70.0,61.0,,,100.0,,[]
wurmple,Wurmple,"[""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/wurmple.jpg,generation-iii,Generation III,195.0,45.0,45.0,35.0,,,20.0,,[]
silcoon,Silcoon,"[""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/silcoon.jpg,generation-iii,Generation III,205.0,50.0,35.0,55.0,,,15.0,(Level 10),"[{""evolves_to"": ""Beautifly"", ""condition"": ""(Level 10)""}, {""evolves_to"": ""Dustox"", ""condition"": ""(Level 10)""}]"
beautifly,Beautifly,"[""Bug"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/beautifly.jpg,generation-iii,Generation III,395.0,60.0,70.0,50.0,,,65.0,,[]
cascoon,Cascoon,"[""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/cascoon.jpg,generation-iii,Generation III,205.0,50.0,35.0,55.0,,,15.0,(Level 10),"[{""evolves_to"": ""Dustox"", ""condition"": ""(Level 10)""}]"
dustox,Dustox,"[""Bug"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/dustox.jpg,generation-iii,Generation III,385.0,60.0,50.0,70.0,,,65.0,,[]
lotad,Lotad,"[""Water"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/lotad.jpg,generation-iii,Generation III,220.0,40.0,30.0,30.0,,,30.0,(Level 14),"[{""evolves_to"": ""Lombre"", ""condition"": ""(Level 14)""}]"
lombre,Lombre,"[""Water"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/lombre.jpg,generation-iii,Generation III,340.0,60.0,50.0,50.0,,,50.0,(use Water Stone),"[{""evolves_to"": ""Ludicolo"", ""condition"": ""(use Water Stone)""}]"
ludicolo,Ludicolo,"[""Water"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/ludicolo.jpg,generation-iii,Generation III,480.0,80.0,70.0,70.0,,,70.0,,[]
seedot,Seedot,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/seedot.jpg,generation-iii,Generation III,220.0,40.0,40.0,50.0,,,30.0,(Level 14),"[{""evolves_to"": ""Nuzleaf"", ""condition"": ""(Level 14)""}]"
nuzleaf,Nuzleaf,"[""Grass"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/nuzleaf.jpg,generation-iii,Generation III,340.0,70.0,70.0,40.0,,,60.0,(use Leaf Stone),"[{""evolves_to"": ""Shiftry"", ""condition"": ""(use Leaf Stone)""}]"
shiftry,Shiftry,"[""Grass"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/shiftry.jpg,generation-iii,Generation III,480.0,90.0,100.0,60.0,,,80.0,,[]
taillow,Taillow,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/taillow.jpg,generation-iii,Generation III,270.0,40.0,55.0,30.0,,,85.0,(Level 22),"[{""evolves_to"": ""Swellow"", ""condition"": ""(Level 22)""}]"
swellow,Swellow,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/swellow.jpg,generation-iii,Generation III,455.0,60.0,85.0,60.0,,,125.0,,[]
wingull,Wingull,"[""Water"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/wingull.jpg,generation-iii,Generation III,270.0,40.0,30.0,30.0,,,85.0,(Level 25),"[{""evolves_to"": ""Pelipper"", ""condition"": ""(Level 25)""}]"
pelipper,Pelipper,"[""Water"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/pelipper.jpg,generation-iii,Generation III,440.0,60.0,50.0,100.0,,,65.0,,[]
ralts,Ralts,"[""Psychic"", ""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/ralts.jpg,generation-iii,Generation III,198.0,28.0,25.0,25.0,,,40.0,(Level 20),"[{""evolves_to"": ""Kirlia"", ""condition"": ""(Level 20)""}]"
kirlia,Kirlia,"[""Psychic"", ""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/kirlia.jpg,generation-iii,Generation III,278.0,38.0,35.0,35.0,,,50.0,,[]
gardevoir,Gardevoir,"[""Psychic"", ""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/gardevoir.jpg,generation-iii,Generation III,518.0,68.0,65.0,65.0,,,80.0,,[]
surskit,Surskit,"[""Bug"", ""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/surskit.jpg,generation-iii,Generation III,269.0,40.0,30.0,32.0,,,65.0,(Level 22),"[{""evolves_to"": ""Masquerain"", ""condition"": ""(Level 22)""}]"
masquerain,Masquerain,"[""Bug"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/masquerain.jpg,generation-iii,Generation III,454.0,70.0,60.0,62.0,,,80.0,,[]
shroomish,Shroomish,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/shroomish.jpg,generation-iii,Generation III,295.0,60.0,40.0,60.0,,,35.0,(Level 23),"[{""evolves_to"": ""Breloom"", ""condition"": ""(Level 23)""}]"
breloom,Breloom,"[""Grass"", ""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/breloom.jpg,generation-iii,Generation III,460.0,60.0,130.0,80.0,,,70.0,,[]
slakoth,Slakoth,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/slakoth.jpg,generation-iii,Generation III,280.0,60.0,60.0,60.0,,,30.0,(Level 18),"[{""evolves_to"": ""Vigoroth"", ""condition"": ""(Level 18)""}]"
vigoroth,Vigoroth,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/vigoroth.jpg,generation-iii,Generation III,440.0,80.0,80.0,80.0,,,90.0,(Level 36),"[{""evolves_to"": ""Slaking"", ""condition"": ""(Level 36)""}]"
slaking,Slaking,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/slaking.jpg,generation-iii,Generation III,670.0,150.0,160.0,100.0,,,100.0,,[]
nincada,Nincada,"[""Bug"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/nincada.jpg,generation-iii,Generation III,266.0,31.0,45.0,90.0,,,40.0,,[]
ninjask,Ninjask,"[""Bug"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/ninjask.jpg,generation-iii,Generation III,456.0,61.0,90.0,45.0,,,160.0,,[]
shedinja,Shedinja,"[""Bug"", ""Ghost""]",https://img.pokemondb.net/sprites/home/normal/2x/shedinja.jpg,generation-iii,Generation III,236.0,1.0,90.0,45.0,,,40.0,,[]
whismur,Whismur,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/whismur.jpg,generation-iii,Generation III,240.0,64.0,51.0,23.0,,,28.0,(Level 20),"[{""evolves_to"": ""Loudred"", ""condition"": ""(Level 20)""}]"
loudred,Loudred,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/loudred.jpg,generation-iii,Generation III,360.0,84.0,71.0,43.0,,,48.0,(Level 40),"[{""evolves_to"": ""Exploud"", ""condition"": ""(Level 40)""}]"
exploud,Exploud,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/exploud.jpg,generation-iii,Generation III,490.0,104.0,91.0,63.0,,,68.0,,[]
makuhita,Makuhita,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/makuhita.jpg,generation-iii,Generation III,237.0,72.0,60.0,30.0,,,25.0,(Level 24),"[{""evolves_to"": ""Hariyama"", ""condition"": ""(Level 24)""}]"
hariyama,Hariyama,"[""Fighting""]",https://img.pokemondb.net/sprites/home/normal/2x/hariyama.jpg,generation-iii,Generation III,474.0,144.0,120.0,60.0,,,50.0,,[]
azurill,Azurill,"[""Normal"", ""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/azurill.jpg,generation-iii,Generation III,190.0,50.0,20.0,40.0,,,20.0,(high Friendship),"[{""evolves_to"": ""Marill"", ""condition"": ""(high Friendship)""}]"
nosepass,Nosepass,"[""Rock""]",https://img.pokemondb.net/sprites/home/normal/2x/nosepass.jpg,generation-iii,Generation III,375.0,30.0,45.0,135.0,,,30.0,(level up in a Magnetic Field area),"[{""evolves_to"": ""Probopass"", ""condition"": ""(level up in a Magnetic Field area)""}]"
skitty,Skitty,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/skitty.jpg,generation-iii,Generation III,260.0,50.0,45.0,45.0,,,50.0,(use Moon Stone),"[{""evolves_to"": ""Delcatty"", ""condition"": ""(use Moon Stone)""}]"
delcatty,Delcatty,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/delcatty.jpg,generation-iii,Generation III,400.0,70.0,65.0,65.0,,,90.0,,[]
sableye,Sableye,"[""Dark"", ""Ghost""]",https://img.pokemondb.net/sprites/home/normal/2x/sableye.jpg,generation-iii,Generation III,380.0,50.0,75.0,75.0,,,50.0,,
mawile,Mawile,"[""Steel"", ""Fairy""]",https://img.pokemondb.net/sprites/home/normal/2x/mawile.jpg,generation-iii,Generation III,380.0,50.0,85.0,85.0,,,50.0,,
aron,Aron,"[""Steel"", ""Rock""]",https://img.pokemondb.net/sprites/home/normal/2x/aron.jpg,generation-iii,Generation III,330.0,50.0,70.0,100.0,,,30.0,(Level 32),"[{""evolves_to"": ""Lairon"", ""condition"": ""(Level 32)""}]"
lairon,Lairon,"[""Steel"", ""Rock""]",https://img.pokemondb.net/sprites/home/normal/2x/lairon.jpg,generation-iii,Generation III,430.0,60.0,90.0,140.0,,,40.0,(Level 42),"[{""evolves_to"": ""Aggron"", ""condition"": ""(Level 42)""}]"
aggron,Aggron,"[""Steel"", ""Rock""]",https://img.pokemondb.net/sprites/home/normal/2x/aggron.jpg,generation-iii,Generation III,530.0,70.0,110.0,180.0,,,50.0,,[]
meditite,Meditite,"[""Fighting"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/meditite.jpg,generation-iii,Generation III,280.0,30.0,40.0,55.0,,,60.0,(Level 37),"[{""evolves_to"": ""Medicham"", ""condition"": ""(Level 37)""}]"
medicham,Medicham,"[""Fighting"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/medicham.jpg,generation-iii,Generation III,410.0,60.0,60.0,75.0,,,80.0,,[]
electrike,Electrike,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/electrike.jpg,generation-iii,Generation III,295.0,40.0,45.0,40.0,,,65.0,(Level 26),"[{""evolves_to"": ""Manectric"", ""condition"": ""(Level 26)""}]"
manectric,Manectric,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/manectric.jpg,generation-iii,Generation III,475.0,70.0,75.0,60.0,,,105.0,,[]
plusle,Plusle,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/plusle.jpg,generation-iii,Generation III,405.0,60.0,50.0,40.0,,,95.0,,
minun,Minun,"[""Electric""]",https://img.pokemondb.net/sprites/home/normal/2x/minun.jpg,generation-iii,Generation III,405.0,60.0,40.0,50.0,,,95.0,,
volbeat,Volbeat,"[""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/volbeat.jpg,generation-iii,Generation III,430.0,65.0,73.0,75.0,,,85.0,,
illumise,Illumise,"[""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/illumise.jpg,generation-iii,Generation III,430.0,65.0,47.0,75.0,,,85.0,,
roselia,Roselia,"[""Grass"", ""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/roselia.jpg,generation-iii,Generation III,400.0,50.0,60.0,45.0,,,65.0,(use Shiny Stone),"[{""evolves_to"": ""Roserade"", ""condition"": ""(use Shiny Stone)""}]"
gulpin,Gulpin,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/gulpin.jpg,generation-iii,Generation III,302.0,70.0,43.0,53.0,,,40.0,(Level 26),"[{""evolves_to"": ""Swalot"", ""condition"": ""(Level 26)""}]"
swalot,Swalot,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/swalot.jpg,generation-iii,Generation III,467.0,100.0,73.0,83.0,,,55.0,,[]
carvanha,Carvanha,"[""Water"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/carvanha.jpg,generation-iii,Generation III,305.0,45.0,90.0,20.0,,,65.0,(Level 30),"[{""evolves_to"": ""Sharpedo"", ""condition"": ""(Level 30)""}]"
sharpedo,Sharpedo,"[""Water"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/sharpedo.jpg,generation-iii,Generation III,460.0,70.0,120.0,40.0,,,95.0,,[]
wailmer,Wailmer,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/wailmer.jpg,generation-iii,Generation III,400.0,130.0,70.0,35.0,,,60.0,(Level 40),"[{""evolves_to"": ""Wailord"", ""condition"": ""(Level 40)""}]"
wailord,Wailord,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/wailord.jpg,generation-iii,Generation III,500.0,170.0,90.0,45.0,,,60.0,,[]
numel,Numel,"[""Fire"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/numel.jpg,generation-iii,Generation III,305.0,60.0,60.0,40.0,,,35.0,(Level 33),"[{""evolves_to"": ""Camerupt"", ""condition"": ""(Level 33)""}]"
camerupt,Camerupt,"[""Fire"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/camerupt.jpg,generation-iii,Generation III,460.0,70.0,100.0,70.0,,,40.0,,[]
torkoal,Torkoal,"[""Fire""]",https://img.pokemondb.net/sprites/home/normal/2x/torkoal.jpg,generation-iii,Generation III,470.0,70.0,85.0,140.0,,,20.0,,
spoink,Spoink,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/spoink.jpg,generation-iii,Generation III,330.0,60.0,25.0,35.0,,,60.0,(Level 32),"[{""evolves_to"": ""Grumpig"", ""condition"": ""(Level 32)""}]"
grumpig,Grumpig,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/grumpig.jpg,generation-iii,Generation III,470.0,80.0,45.0,65.0,,,80.0,,[]
spinda,Spinda,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/spinda.jpg,generation-iii,Generation III,360.0,60.0,60.0,60.0,,,60.0,,
trapinch,Trapinch,"[""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/trapinch.jpg,generation-iii,Generation III,290.0,45.0,100.0,45.0,,,10.0,(Level 35),"[{""evolves_to"": ""Vibrava"", ""condition"": ""(Level 35)""}]"
vibrava,Vibrava,"[""Ground"", ""Dragon""]",https://img.pokemondb.net/sprites/home/normal/2x/vibrava.jpg,generation-iii,Generation III,340.0,50.0,70.0,50.0,,,70.0,(Level 45),"[{""evolves_to"": ""Flygon"", ""condition"": ""(Level 45)""}]"
flygon,Flygon,"[""Ground"", ""Dragon""]",https://img.pokemondb.net/sprites/home/normal/2x/flygon.jpg,generation-iii,Generation III,520.0,80.0,100.0,80.0,,,100.0,,[]
cacnea,Cacnea,"[""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/cacnea.jpg,generation-iii,Generation III,335.0,50.0,85.0,40.0,,,35.0,(Level 32),"[{""evolves_to"": ""Cacturne"", ""condition"": ""(Level 32)""}]"
cacturne,Cacturne,"[""Grass"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/cacturne.jpg,generation-iii,Generation III,475.0,70.0,115.0,60.0,,,55.0,,[]
swablu,Swablu,"[""Normal"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/swablu.jpg,generation-iii,Generation III,310.0,45.0,40.0,60.0,,,50.0,(Level 35),"[{""evolves_to"": ""Altaria"", ""condition"": ""(Level 35)""}]"
altaria,Altaria,"[""Dragon"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/altaria.jpg,generation-iii,Generation III,490.0,75.0,70.0,90.0,,,80.0,,[]
zangoose,Zangoose,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/zangoose.jpg,generation-iii,Generation III,458.0,73.0,115.0,60.0,,,90.0,,
seviper,Seviper,"[""Poison""]",https://img.pokemondb.net/sprites/home/normal/2x/seviper.jpg,generation-iii,Generation III,458.0,73.0,100.0,60.0,,,65.0,,
lunatone,Lunatone,"[""Rock"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/lunatone.jpg,generation-iii,Generation III,460.0,90.0,55.0,65.0,,,70.0,,
solrock,Solrock,"[""Rock"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/solrock.jpg,generation-iii,Generation III,460.0,90.0,95.0,85.0,,,70.0,,
barboach,Barboach,"[""Water"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/barboach.jpg,generation-iii,Generation III,288.0,50.0,48.0,43.0,,,60.0,(Level 30),"[{""evolves_to"": ""Whiscash"", ""condition"": ""(Level 30)""}]"
whiscash,Whiscash,"[""Water"", ""Ground""]",https://img.pokemondb.net/sprites/home/normal/2x/whiscash.jpg,generation-iii,Generation III,468.0,110.0,78.0,73.0,,,60.0,,[]
corphish,Corphish,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/corphish.jpg,generation-iii,Generation III,308.0,43.0,80.0,65.0,,,35.0,(Level 30),"[{""evolves_to"": ""Crawdaunt"", ""condition"": ""(Level 30)""}]"
crawdaunt,Crawdaunt,"[""Water"", ""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/crawdaunt.jpg,generation-iii,Generation III,468.0,63.0,120.0,85.0,,,55.0,,[]
baltoy,Baltoy,"[""Ground"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/baltoy.jpg,generation-iii,Generation III,300.0,40.0,40.0,55.0,,,55.0,(Level 36),"[{""evolves_to"": ""Claydol"", ""condition"": ""(Level 36)""}]"
claydol,Claydol,"[""Ground"", ""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/claydol.jpg,generation-iii,Generation III,500.0,60.0,70.0,105.0,,,75.0,,[]
lileep,Lileep,"[""Rock"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/lileep.jpg,generation-iii,Generation III,355.0,66.0,41.0,77.0,,,23.0,(Level 40),"[{""evolves_to"": ""Cradily"", ""condition"": ""(Level 40)""}]"
cradily,Cradily,"[""Rock"", ""Grass""]",https://img.pokemondb.net/sprites/home/normal/2x/cradily.jpg,generation-iii,Generation III,495.0,86.0,81.0,97.0,,,43.0,,[]
anorith,Anorith,"[""Rock"", ""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/anorith.jpg,generation-iii,Generation III,355.0,45.0,95.0,50.0,,,75.0,(Level 40),"[{""evolves_to"": ""Armaldo"", ""condition"": ""(Level 40)""}]"
armaldo,Armaldo,"[""Rock"", ""Bug""]",https://img.pokemondb.net/sprites/home/normal/2x/armaldo.jpg,generation-iii,Generation III,495.0,75.0,125.0,100.0,,,45.0,,[]
feebas,Feebas,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/feebas.jpg,generation-iii,Generation III,200.0,20.0,15.0,20.0,,,80.0,"(trade holding Prism Scale, or level up with max Beauty)","[{""evolves_to"": ""Milotic"", ""condition"": ""(trade holding Prism Scale, or level up with max Beauty)""}]"
milotic,Milotic,"[""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/milotic.jpg,generation-iii,Generation III,540.0,95.0,60.0,79.0,,,81.0,,[]
castform,Castform,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/castform.jpg,generation-iii,Generation III,420.0,70.0,70.0,70.0,,,70.0,,
kecleon,Kecleon,"[""Normal""]",https://img.pokemondb.net/sprites/home/normal/2x/kecleon.jpg,generation-iii,Generation III,440.0,60.0,90.0,70.0,,,40.0,,
shuppet,Shuppet,"[""Ghost""]",https://img.pokemondb.net/sprites/home/normal/2x/shuppet.jpg,generation-iii,Generation III,295.0,44.0,75.0,35.0,,,45.0,(Level 37),"[{""evolves_to"": ""Banette"", ""condition"": ""(Level 37)""}]"
banette,Banette,"[""Ghost""]",https://img.pokemondb.net/sprites/home/normal/2x/banette.jpg,generation-iii,Generation III,455.0,64.0,115.0,65.0,,,65.0,,[]
duskull,Duskull,"[""Ghost""]",https://img.pokemondb.net/sprites/home/normal/2x/duskull.jpg,generation-iii,Generation III,295.0,20.0,40.0,90.0,,,25.0,(Level 37),"[{""evolves_to"": ""Dusclops"", ""condition"": ""(Level 37)""}]"
dusclops,Dusclops,"[""Ghost""]",https://img.pokemondb.net/sprites/home/normal/2x/dusclops.jpg,generation-iii,Generation III,455.0,40.0,70.0,130.0,,,25.0,(trade holding Reaper Cloth),"[{""evolves_to"": ""Dusknoir"", ""condition"": ""(trade holding Reaper Cloth)""}]"
tropius,Tropius,"[""Grass"", ""Flying""]",https://img.pokemondb.net/sprites/home/normal/2x/tropius.jpg,generation-iii,Generation III,460.0,99.0,68.0,83.0,,,51.0,,
chimecho,Chimecho,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/chimecho.jpg,generation-iii,Generation III,455.0,75.0,50.0,80.0,,,65.0,,[]
absol,Absol,"[""Dark""]",https://img.pokemondb.net/sprites/home/normal/2x/absol.jpg,generation-iii,Generation III,465.0,65.0,130.0,60.0,,,75.0,,
wynaut,Wynaut,"[""Psychic""]",https://img.pokemondb.net/sprites/home/normal/2x/wynaut.jpg,generation-iii,Generation III,260.0,95.0,23.0,48.0,,,23.0,(Level 15),"[{""evolves_to"": ""Wobbuffet"", ""condition"": ""(Level 15)""}]"
snorunt,Snorunt,"[""Ice""]",https://img.pokemondb.net/sprites/home/normal/2x/snorunt.jpg,generation-iii,Generation III,300.0,50.0,50.0,50.0,,,50.0,,[]
glalie,Glalie,"[""Ice""]",https://img.pokemondb.net/sprites/home/normal/2x/glalie.jpg,generation-iii,Generation III,480.0,80.0,80.0,80.0,,,80.0,,[]
spheal,Spheal,"[""Ice"", ""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/spheal.jpg,generation-iii,Generation III,290.0,70.0,40.0,50.0,,,25.0,(Level 32),"[{""evolves_to"": ""Sealeo"", ""condition"": ""(Level 32)""}]"
sealeo,Sealeo,"[""Ice"", ""Water""]",https://img.pokemondb.net/sprites/home/normal/2x/sealeo.jpg,generation-iii,Generation III,410.0,90.0,60.0,70.0,,,45.0,(Level 44),"[{""evolves_to"": ""Walrein"", ""condition"": ""(Level 44)""}]"
